id;judulgame;genre;platform;tanggal;publisher;bahasa;sinopsis
114;WWE SmackDown! Just Bring It;Fighting, Sports;PlayStation 2;18-Nov-01;THQ;Inggris;Game gulat profesional pertama di PS2, menampilkan banyak superstar WWE dengan mode cerita dan pertarungan ganda yang mendalam.
115;Turok: Evolution;First-Person Shooter;PlayStation 2, Xbox, GameCube;26 Agustus 2002;Acclaim Entertainment;Inggris;Pemain melawan dinosaurus dan makhluk prasejarah lainnya dalam dunia yang brutal dengan berbagai senjata futuristik.
116;The Thing;Survival Horror;PlayStation 2, Xbox, PC;20 Agustus 2002;Vivendi Universal;Inggris;Sekuel tidak langsung dari film horor klasik, pemain menghadapi makhluk alien yang bisa menyamar dan menciptakan paranoia di antara kru.
117;Headhunter;Action, Stealth;PlayStation 2, Dreamcast;30-Nov-01;Sega;Inggris;Game aksi-petualangan futuristik di mana pemain menjadi pemburu hadiah yang harus mengungkap konspirasi besar di masa depan.
118;Dark Cloud;Action RPG;PlayStation 2;18 Desember 2000 (JP), 2001 (WW);Sony Computer Entertainment;Inggris, Jepang;RPG unik yang menggabungkan pertarungan dungeon dan pembangunan kota, mengikuti petualangan Toan menyelamatkan dunia.
119;Summoner;RPG;PlayStation 2, PC;20 Oktober 2000 (NA), 2001 (EU);THQ;Inggris;Pemain berperan sebagai pemanggil mistis yang terlibat dalam konflik kerajaan dan harus menguasai kekuatan kuno untuk mengubah nasib dunia.
120;The Getaway;Action, Adventure;PlayStation 2;11 Desember 2002;Sony Computer Entertainment;Inggris;Sebuah game aksi dengan nuansa film gangster, berlatar di London, di mana pemain menjalani kisah kriminal dari dua sudut pandang berbeda.
121;Klonoa 2: Lunatea’s Veil;Platformer;PlayStation 2;22 Maret 2001;Namco;Inggris, Jepang;Game platformer penuh warna dan cerita emosional yang mengikuti petualangan Klonoa di dunia mimpi yang misterius.
122;Rez;Rail Shooter, Music;PlayStation 2, Dreamcast;22-Nov-01;Sega;Inggris, Jepang;Shooter berbasis musik futuristik dengan visual gaya cyber dan soundtrack elektronik yang sinkron dengan aksi pemain.
123;Monsters, Inc. Scream Team;Platformer;PlayStation, PS2;2001;Sony Computer Entertainment;Inggris;"Berdasarkan film Pixar, pemain menjalani pelatihan untuk menjadi ""scarer"" profesional dalam berbagai misi lucu dan menantang."
124;Legacy of Kain: Soul Reaver 2;Action, Adventure;PlayStation 2, PC;30 Oktober 2001;Eidos Interactive;Inggris;Pemain berperan sebagai Raziel dalam perjalanan lintas waktu untuk mengungkap rahasia takdirnya dalam dunia vampir gelap.
125;Midnight Club: Street Racing;Racing;PlayStation 2, Game Boy Advance;26 Oktober 2000 (PS2), 2001 (GBA);Rockstar Games;Inggris;Balapan liar di jalanan kota besar seperti New York dan London, dengan kendaraan kustom dan misi penuh aksi.
126;Herdy Gerdy;Platformer, Puzzle;PlayStation 2;26 Februari 2002;Eidos Interactive;Inggris;Gerdy, seorang anak gembala, harus menyelamatkan dunia dari kegelapan dengan menggiring makhluk-makhluk aneh secara strategis.
127;Armored Core 3;Mecha, Action;PlayStation 2;05-Apr-02;FromSoftware;Inggris, Jepang;Pemain mengendalikan robot raksasa (mecha) yang dapat dikustomisasi penuh untuk bertarung dalam misi-misi taktis melawan organisasi militer.
128;ESPN International Track & Field;Sports;PlayStation 2, Dreamcast;17 Juli 2001;Konami;Inggris;Game olahraga yang mencakup berbagai cabang atletik seperti sprint, lompat jauh, dan lempar lembing.
129;Stretch Panic;Action, Platformer;PlayStation 2;27 Juli 2001;Treasure;Inggris, Jepang;Pemain mengontrol Linda, gadis dengan syal hidup, dalam petualangan melawan bos aneh di dunia surealis.
130;Star Wars: Racer Revenge;Racing;PlayStation 2;11 Februari 2002;LucasArts;Inggris;Sekuel dari game Episode I Racer, pemain membalap pod dalam turnamen berbahaya di berbagai planet ikonik dari dunia Star Wars.
131;MotoGP;Racing, Simulation;PlayStation 2;2002;Namco;Inggris;Game balap motor realistis yang menghadirkan lisensi resmi MotoGP, dengan banyak sirkuit dan pembalap ternama.
132;Prisoner of War;Stealth, Adventure;PlayStation 2, Xbox, PC;5 Juli 2002;Codemasters;Inggris;Pemain berperan sebagai tentara Sekutu yang ditahan, dan harus menggunakan strategi dan penyamaran untuk kabur dari kamp tahanan musuh.
133;Wipeout Fusion;Racing, Sci-Fi;PlayStation 2;6 Maret 2002;Sony Computer Entertainment;Inggris;Game balapan futuristik dengan kecepatan tinggi dan senjata canggih di lintasan gravitasi rendah yang ekstrem.
134;Maximo: Ghosts to Glory;Action, Platformer;PlayStation 2;12 Februari 2002;Capcom;Inggris;Game aksi-petualangan bergaya klasik dengan karakter Maximo yang melawan pasukan undead untuk menyelamatkan dunia dan kekasihnya.
135;Dynasty Warriors 3;Hack and Slash;PlayStation 2;27-Sep-01;Koei;Inggris, Jepang;Pemain bertarung melawan ribuan musuh di medan perang Tiongkok kuno, dengan karakter-karakter historis legendaris.
136;Dropship: United Peace Force;Flight Combat, Shooter;PlayStation 2;11 Maret 2002;Sony Computer Entertainment;Inggris;Game simulasi pertempuran udara futuristik dengan elemen strategi dan taktik berbasis misi.
137;Grandia II;RPG;Dreamcast, PlayStation 2, PC;2000 (DC), 2002 (PS2);Ubisoft;Inggris;RPG klasik dengan sistem pertarungan berbasis giliran dan kisah petualangan epik menyelamatkan dunia dari kehancuran.
138;Sky Odyssey;Flight Adventure;PlayStation 2;14 November 2000 (NA), 2001 (EU);Activision;Inggris;Game petualangan udara di mana pemain menerbangkan pesawat antik melewati kondisi ekstrem untuk mengumpulkan peta kuno.
139;Blood Omen 2;Action, Adventure;PlayStation 2, Xbox, GameCube, PC;21 Maret 2002;Eidos Interactive;Inggris;Petualangan vampir Kain yang berusaha merebut kembali kekuatannya dan membalas dendam terhadap organisasi jahat.
140;Seek and Destroy;Vehicular Combat;PlayStation 2;2002;Conspiracy Entertainment;Inggris;Game tank tempur yang penuh aksi dengan berbagai kendaraan lapis baja dan peningkatan senjata.
141;Scooby-Doo! Night of 100 Frights;Platformer, Adventure;PlayStation 2, GameCube, Xbox;2002;THQ;Inggris;Pemain mengendalikan Scooby-Doo dalam petualangan menyelesaikan misteri di rumah berhantu sambil menghindari jebakan dan monster.
142;Paris-Dakar Rally;Racing;PlayStation 2, PC;2001;Acclaim Entertainment;Inggris;Game balap reli ekstrem berdasarkan ajang Paris-Dakar yang ikonik, melintasi gurun dan medan berbahaya.
143;Driven;Racing;PlayStation 2, GameCube, Xbox, GBA;2001;BAM! Entertainment;Inggris;Game balap Formula futuristik yang diadaptasi dari film dengan mode karier dan sirkuit menantang.
144;Tenchu: Wrath of Heaven;Stealth, Action;PlayStation 2;5 Desember 2002;FromSoftware, Activision;Inggris;Pemain menjadi ninja Rikimaru atau Ayame, melaksanakan misi rahasia dan diam-diam membasmi musuh dalam dunia feodal Jepang.
145;Tokyo Xtreme Racer Zero;Racing;PlayStation 2;24 Mei 2001;Crave Entertainment;Inggris;Game balap malam di jalan tol Jepang dengan mobil kustom dan rival unik, menampilkan mode karier mendalam.
146;The Bouncer;Beat 'em up, Action;PlayStation 2;6 Maret 2001;Square Enix (dulu Squaresoft);Inggris, Jepang;Sebuah game pertarungan sinematik di mana tiga penjaga klub malam harus menyelamatkan teman mereka dari organisasi jahat.
147;Rayman Arena;Platformer, Racing;PlayStation 2, GameCube;2001;Ubisoft;Inggris;Game spin-off dari Rayman yang berfokus pada balapan dan pertarungan arena dengan karakter ikonik dalam dunia penuh warna.
148;Disney's Donald Duck: Goin' Quackers;Platformer;PS1, PS2, Dreamcast, PC, N64;2000–2001;Ubisoft;Inggris;Donald Duck berpetualang menyelamatkan Daisy dari kejahatan Merlock, sambil melintasi level kartun yang penuh tantangan.
149;Shadow Man: 2econd Coming;Action, Horror;PlayStation 2;30 Oktober 2002;Acclaim Entertainment;Inggris;Sekuel dari Shadow Man, pemain kembali sebagai Michael LeRoi untuk menghentikan kebangkitan iblis dari dunia bayangan.
150;Haven: Call of the King;Action, Adventure;PlayStation 2;2002;Midway Games;Inggris;Petualangan sci-fi dengan gabungan gameplay platformer, shooter, dan eksplorasi dunia terbuka di planet yang penuh misteri.
151;Swing Away Golf;Sports, Golf;PlayStation 2;2001;EA Sports;Inggris;Game golf kasual dengan karakter animasi dan kontrol yang ramah pemain, cocok untuk semua umur.
152;Mad Maestro!;Rhythm, Music;PlayStation 2;2002;Eidos Interactive;Inggris;Pemain menjadi konduktor orkestra, memimpin simfoni dengan menekan tombol sesuai irama demi menyelamatkan gedung konser dari pembongkaran.
153;Stuntman;Driving, Simulation;PlayStation 2;2002;Atari (Infogrames);Inggris;Pemain berperan sebagai stuntman film, menyelesaikan adegan berbahaya seperti kejar-kejaran dan ledakan dalam produksi film Hollywood.
154;Red Faction;First-person Shooter;PlayStation 2, PC, Mac;21 Mei 2001;THQ;Inggris;Game FPS revolusioner dengan fitur “Geo-Mod” yang memungkinkan pemain menghancurkan lingkungan saat memimpin pemberontakan di Mars.
155;Jak and Daxter: The Precursor Legacy;Platformer, Adventure;PlayStation 2;3 Desember 2001;Sony Computer Entertainment;Inggris;Jak dan sahabatnya Daxter menjelajahi dunia penuh teka-teki dan makhluk unik untuk menyelamatkan teman mereka yang berubah bentuk.
156;Crazy Taxi;Racing, Arcade;Dreamcast, PlayStation 2, GameCube;2001 (PS2);SEGA;Inggris;Pemain menjadi sopir taksi gila yang mengantar penumpang secepat dan se-“liar” mungkin sambil melewati lalu lintas kota.
157;Taz: Wanted;Platformer;PlayStation 2, Xbox, GameCube, PC;2002;Infogrames;Inggris;Taz si Iblis Tasmania kabur dari kebun binatang dan mencoba menyelamatkan temannya sambil menghindari jebakan dari karakter Looney Tunes lainnya.
158;Robots;Action, Platformer;PlayStation 2, Xbox, GC, PC;2002;Sierra;Inggris;Berdasarkan film animasi Robots, pemain menjelajahi kota robot dan menghadapi berbagai rintangan sebagai Rodney Copperbottom.
159;Mister Mosquito;Stealth, Simulation;PlayStation 2;2001 (JP), 2002 (NA);Sony;Inggris;Pemain berperan sebagai nyamuk dan harus mengisap darah anggota keluarga tanpa ketahuan dalam rumah penuh rintangan.
160;Reign of Fire;Shooter, Action;PlayStation 2, Xbox, GameCube;2002;BAM! Entertainment;Inggris;Game berdasarkan film Reign of Fire, pemain dapat bermain sebagai manusia atau naga dalam pertempuran pasca-apokaliptik.
161;Salt Lake 2002;Sports, Winter Sports;PlayStation 2, PC;2002;Eidos Interactive;Inggris;Game resmi Olimpiade Musim Dingin Salt Lake City 2002 dengan cabang olahraga seperti ski, bobsleigh, dan snowboarding.
162;The Thing;Survival Horror;PlayStation 2, Xbox, PC;2002;Konami;Inggris;Sekuel tidak resmi dari film horor klasik The Thing, di mana pemain harus bertahan dari makhluk asing di pangkalan Arktik yang penuh ketegangan.
163;Blade II;Action, Beat 'em up;PlayStation 2, Xbox;2002;Activision;Inggris;Pemain mengontrol pemburu vampir Blade dalam pertarungan cepat melawan musuh supernatural menggunakan pedang dan senjata api.
164;Headhunter;Action, Stealth;Dreamcast, PlayStation 2;2001 (DC), 2002 (PS2);Sega;Inggris;Pemain menjadi Jack Wade, pemburu kriminal masa depan, menyusup ke dunia korup penuh konspirasi untuk memulihkan ingatannya dan menghentikan rencana jahat.
165;Vexx;Platformer, Action;PlayStation 2, Xbox, GameCube;Februari 2003 (NA), namun dikembangkan dan diselesaikan akhir 2002;Acclaim;Inggris;Vexx menggunakan cakar sihir untuk bertarung dan melintasi dunia misterius guna membalas dendam atas kematian kakeknya dan menyelamatkan desanya.
166;Pac-Man World 2;Platformer;PlayStation 2, Xbox, GameCube, PC;2002;Namco;Inggris;Pac-Man memulai petualangan baru untuk merebut kembali permata suci yang dicuri dan menyelamatkan dunia dari kejahatan kuno.
167;Zapper: One Wicked Cricket!;Platformer;PlayStation 2, Xbox, GameCube, GBA;2002;Infogrames;Inggris;Seekor jangkrik listrik bernama Zapper harus menyelamatkan saudaranya dan menghadapi berbagai rintangan platformer berwarna-warni.
168;Gauntlet: Dark Legacy;Hack & Slash, RPG;Arcade, PlayStation 2, Xbox, GC;2001 (PS2);Midway Games;Inggris;Pemain menjelajah ruang bawah tanah dan melawan monster dalam mode kooperatif klasik, berbasis seri Gauntlet legendaris.
169;Peter Pan: The Legend of Never Land;Action, Adventure;PlayStation 2;2002;TDK Mediactive;Inggris;Peter Pan harus menyelamatkan anak-anak hilang dan menghentikan Kapten Hook dalam game petualangan penuh sihir dan aksi.
170;Ty the Tasmanian Tiger;Platformer, Action;PlayStation 2, Xbox, GameCube;2002;EA Games;Inggris;Ty menggunakan bumerang sihirnya untuk menyelamatkan teman-teman dan menghentikan ancaman dari makhluk misterius di hutan Australia.
171;Spy Hunter;Vehicular Combat;PlayStation 2, Xbox, GameCube, PC;2001;Midway;Inggris;Pemain mengendalikan mobil bersenjata canggih dan menyelesaikan misi spionase berbahaya di seluruh dunia.
172;Shifters;Action RPG;PlayStation 2;2002;3DO;Inggris;Game RPG aksi dengan kemampuan untuk berubah bentuk menjadi makhluk yang berbeda, melintasi dunia aneh untuk menyelamatkan umat manusia.
173;Eternal Ring;RPG, First-person;PlayStation 2;2000 (JP), 2001 (NA);FromSoftware;Inggris;Sebagai penyihir muda, pemain menjelajahi pulau mitos untuk mengungkap rahasia dan menciptakan cincin sihir kuat guna melawan kekuatan jahat.
174;SSX Tricky;Sports, Snowboarding;PlayStation 2, GameCube, Xbox;Nov-01;EA Sports BIG;Inggris;Game snowboarding yang penuh gaya dengan karakter unik dan trik ekstrim di berbagai medan salju yang penuh tantangan.
175;Legends of Wrestling;Fighting;PlayStation 2, Xbox, GameCube;Desember 2001;Acclaim Entertainment;Inggris;Pertarungan antara legenda gulat seperti Hulk Hogan dan Bret Hart dalam arena klasik dengan gaya arcade.
176;XIII;Shooter, Action;PlayStation 2, Xbox, PC;2002 (diumumkan), 2003 (rilis);Ubisoft;Inggris;Game FPS bergaya komik cel-shaded, mengikuti kisah seorang pria amnesia yang dituduh membunuh presiden AS.
177;Ferrari F355 Challenge;Racing;PlayStation 2, Dreamcast, Arcade;2001 (PS2);Acclaim Entertainment;Inggris;Simulasi balap realistis yang menampilkan mobil Ferrari F355 di sirkuit dunia nyata.
178;Midnight Club: Street Racing;Racing;PlayStation 2, GBA, PC;Oktober 2001;Rockstar Games;Inggris;Game balap jalanan dunia terbuka di kota besar seperti New York dan London dengan kendaraan modifikasi.
179;The Lord of the Rings: The Two Towers;Action, Hack & Slash;PlayStation 2, Xbox, GBA, GC;2002;EA Games;Inggris;Berdasarkan film populer, pemain bertarung sebagai Aragorn, Legolas, atau Gimli melawan pasukan Sauron.
180;Super Bust-A-Move;Puzzle;PlayStation 2, GBA, GameCube;2001;Taito;Inggris;Game puzzle gelembung klasik dengan gameplay adiktif dan visual cerah untuk segala usia.
181;Silent Scope;Shooter, Rail Shooter;PlayStation 2, Arcade, Xbox;2001;Konami;Inggris;Pemain adalah penembak jitu elite yang menghentikan ancaman teroris di lingkungan kota dari jarak jauh.
182;Herdy Gerdy;Platformer, Puzzle;PlayStation 2;2002;Eidos Interactive;Inggris;Game petualangan unik di mana pemain menggiring makhluk-makhluk lucu untuk memecahkan teka-teki di dunia fantasi.
183;Prisoner of War;Stealth, Adventure;PlayStation 2, Xbox, PC;2002;Codemasters;Inggris;Pemain sebagai tentara sekutu yang harus melarikan diri dari kamp tawanan Nazi menggunakan strategi diam-diam dan kerja tim.
184;Klonoa 2: Lunatea's Veil;Platformer;PlayStation 2;22 Maret 2001;Namco;Inggris;Petualangan magis Klonoa yang menjelajahi dunia Lunatea untuk mengembalikan keseimbangan dan menyatukan kerajaan dengan kekuatan cincin angin.
185;MotoGP;Racing, Sports;PlayStation 2, Xbox, PC;2002;Namco;Inggris;Simulasi balap motor resmi dengan sirkuit dunia nyata dan pembalap profesional dari ajang MotoGP.
186;Summoner;RPG;PlayStation 2, PC;Oktober 2000 (PS2 NA), 2001 (EU);THQ;Inggris;RPG epik di mana pemain adalah penyihir terpilih yang bisa memanggil makhluk legendaris untuk menyelamatkan dunia dari perang kuno.
187;Bloody Roar 3;Fighting;PlayStation 2;2001;Hudson Soft / Konami;Inggris;Pertarungan brutal antara manusia yang bisa berubah menjadi binatang buas dalam arena 3D cepat.
188;Dark Cloud;Action RPG;PlayStation 2;2001;Sony Computer Entertainment;Inggris;Gabungan RPG dan simulasi membangun kota, di mana pemain mengembalikan dunia yang hancur oleh iblis jahat dengan mengumpulkan elemen dan item.
189;Ecco the Dolphin: Defender of the Future;Action, Adventure;Dreamcast, PlayStation 2;2000 (DC), 2002 (PS2);Sega / Acclaim;Inggris;Pemain adalah lumba-lumba futuristik yang bertarung untuk menyelamatkan dunia laut dari alien yang mengancam kehidupan.
190;Star Wars: Starfighter;Flight Combat, Action;PlayStation 2, Xbox, PC;2001;LucasArts;Inggris;Pemain mengendalikan berbagai pesawat tempur dari semesta Star Wars dalam pertempuran luar angkasa intensif.
191;Rayman Arena;Racing, Platformer;PlayStation 2, GameCube, PC;2002;Ubisoft;Inggris;Game balap dan kompetisi arena dengan karakter Rayman dan teman-temannya dalam mode multipemain cepat dan penuh aksi.
192;Driven;Racing;PlayStation 2, GameCube, GBA;2001;BAM! Entertainment;Inggris;Berdasarkan film dengan judul yang sama, game ini menampilkan balapan open-wheel dengan drama dan kecepatan tinggi.
193;Mobile Suit Gundam: Journey to Jaburo;Action, Mecha;PlayStation 2;2001;Bandai;Inggris;Pemain mengendalikan mobile suit Gundam dalam perang antar koloni luar angkasa melawan Zeon dalam skenario anime terkenal.
194;Gungriffon Blaze;Mecha, Action;PlayStation 2;November 2000 (JP), 2001 (NA);Working Designs;Inggris;Pemain mengendalikan mecha tempur berat dalam pertempuran militer futuristik untuk mempertahankan wilayah dari invasi global.
195;Maximo: Ghosts to Glory;Action, Hack & Slash;PlayStation 2;Februari 2002;Capcom;Inggris;Spin-off Ghosts 'n Goblins dalam bentuk 3D, dengan petualangan ksatria Maximo melawan pasukan undead untuk menyelamatkan dunia.
196;Fire Pro Wrestling D;Fighting, Wrestling;Dreamcast (2001), PS2 (JP);2001 (JP);Spike;Inggris;Game gulat legendaris bergaya 2D dengan sistem grappling mendalam dan roster besar pegulat fiktif maupun nyata.
197;NBA Street;Sports, Basketball;PlayStation 2, GameCube;2001;EA Sports BIG;Inggris;Basket jalanan bergaya arcade dengan trik-trik spektakuler dan karakter-karakter penuh kepribadian.
198;Sled Storm;Racing, Snowmobile;PlayStation 2;2002;EA Sports BIG;Inggris;Balap snowmobile di medan ekstrem dengan power-up dan lompatan gila ala game arcade EA lainnya.
199;Pirates: The Legend of Black Kat;Action, Adventure;PlayStation 2, Xbox;2002;EA Games;Inggris;Kapten wanita pemberani menjelajahi laut lepas, melawan bajak laut dan monster, serta mencari harta karun misterius.
200;Monsters, Inc. Scream Team;Platformer, Adventure;PlayStation, PC;2001;Sony Computer Entertainment;Inggris;Berdasarkan film Pixar, pemain mengendalikan Mike dan Sulley dalam pelatihan untuk menjadi ahli menakuti anak-anak.
201;Freekstyle;Racing, Motocross;PlayStation 2, GameCube, GBA;2002;EA Sports BIG;Inggris;Game balap motorcross bergaya ekstrim dengan karakter over-the-top dan lompatan stunt yang menantang hukum fisika.
202;Smuggler’s Run: Warzones;Racing, Action;PlayStation 2;2002;Rockstar Games;Inggris;Pemain menjalankan misi penyelundupan kendaraan cepat dalam area perang, menghindari militer dan polisi.
203;Galerians: Ash;Action, Sci-Fi;PlayStation 2;2002 (JP), 2003 (NA);Sammy Studios;Inggris;Kelanjutan dari Galerians, pemain menggunakan kekuatan psikis untuk melawan makhluk bio-engineered dalam dunia post-apokaliptik.
204;Psi-Ops: The Mindgate Conspiracy;Action, Shooter, Sci-Fi;PlayStation 2, Xbox, PC;Juni 2004;Midway Games;Inggris;Pemain menggunakan kekuatan psionik seperti telekinesis, pyrokinetik, dan mind control untuk mengalahkan musuh dan memecahkan teka-teki.
205;Onimusha 3: Demon Siege;Action, Hack & Slash;PlayStation 2;Apr-04;Capcom;Inggris;Petualangan epik waktu antara masa feodal Jepang dan Paris modern, menampilkan aktor Jean Reno sebagai karakter utama.
206;Prince of Persia: Warrior Within;Action, Adventure;PlayStation 2, Xbox, GameCube, PC;Nov-04;Ubisoft;Inggris;Sekuel gelap dari Sands of Time, di mana sang Pangeran melawan waktu dan monster bayangan untuk menyelamatkan takdirnya.
207;Jak II;Action, Platformer;PlayStation 2;Oktober 2003;Sony Computer Entertainment;Inggris;Jak kembali dengan kemampuan baru, senjata, dan gameplay dunia terbuka dalam petualangan yang lebih dewasa dan penuh aksi.
208;The Suffering;Horror, Action, Shooter;PlayStation 2, Xbox, PC;2004;Midway Games;Inggris;Bertahan hidup dari penjara yang dihantui oleh monster menyeramkan yang mencerminkan dosa-dosa para penghuninya.
209;Kill.Switch;Shooter, Cover-based;PlayStation 2, Xbox, PC;Oktober 2003;Namco;Inggris;Game shooter yang memperkenalkan sistem “cover” modern dengan gameplay taktis dan penuh aksi.
210;Viewtiful Joe;Action, Beat 'em up;PlayStation 2, GameCube;2003 (GC), 2004 (PS2);Capcom;Inggris;Seorang pria biasa berubah menjadi pahlawan super dalam dunia film aksi, dengan kontrol waktu dan efek dramatis ala film klasik.
211;Def Jam: Fight for NY;Fighting;PlayStation 2, Xbox, GameCube;Sep-04;EA Games;Inggris;Game pertarungan jalanan dengan karakter rapper terkenal seperti Snoop Dogg dan Ludacris bertarung di arena bawah tanah.
212;BloodRayne 2;Action, Hack & Slash;PlayStation 2, Xbox, PC;Oktober 2004;Majesco Entertainment;Inggris;Rayne, vampir setengah manusia, kembali untuk memburu saudara-saudaranya dan menggagalkan rencana mereka menaklukkan dunia.
213;Catwoman;Action, Stealth;PlayStation 2, Xbox, GameCube, PC;Juli 2004;EA Games;Inggris;Berdasarkan film Catwoman (2004), pemain menjelajahi kota dan bertarung dengan gaya akrobatik dan stealth sebagai antihero wanita.
214;The Bard’s Tale;RPG, Action;PlayStation 2, Xbox, PC;Oktober 2004;inXile Entertainment;Inggris;Parodi RPG klasik dengan narasi kocak, di mana sang Bard mengejar ketenaran dan kekayaan, bukan menyelamatkan dunia.
215;ShellShock: Nam '67;Shooter, War;PlayStation 2, Xbox, PC;Sep-04;Eidos Interactive;Inggris;FPS realistis berlatar Perang Vietnam, menampilkan brutalitas perang dari sudut pandang prajurit muda.
216;Spyro: A Hero's Tail;Platformer, Adventure;PlayStation 2, Xbox, GameCube;Nov-04;Vivendi Universal;Inggris;Spyro kembali dalam petualangan 3D untuk menghentikan Red Dragon yang ingin menutupi dunia dengan kristal gelap.
217;Vexx;Platformer, Action;PlayStation 2, Xbox, GameCube;Februari 2003;Acclaim Entertainment;Inggris;Vexx bertualang dalam dunia fantasi gelap untuk membalas dendam atas kematian kakeknya dan membebaskan dunia dari tirani Dark Yabu.
218;XIII;Shooter, Cel-shaded;PlayStation 2, Xbox, GameCube, PC;Nov-03;Ubisoft;Inggris;FPS bergaya komik dengan visual cel-shading, mengikuti karakter amnesia yang dituduh membunuh Presiden AS.
219;Tak and the Power of Juju;Platformer;PlayStation 2, GameCube, GBA;Oktober 2003;THQ;Inggris;Anak muda bernama Tak harus menyelamatkan desanya dengan memanfaatkan kekuatan roh alam yang disebut Juju.
220;Chaos Legion;Hack & Slash, Fantasy;PlayStation 2, PC;2003;Capcom;Inggris;Ksatria Sieg harus menghadapi mantan temannya Victor dan memanggil pasukan legiun untuk menyelamatkan dunia dari kehancuran.
221;The Getaway: Black Monday;Action, Open World;PlayStation 2;Desember 2004;Sony Computer Entertainment;Inggris;Game aksi kriminal berlatar kota London yang realistis dengan cerita sinematik dan sudut pandang beberapa karakter.
222;Shrek 2;Action, Adventure;PlayStation 2, Xbox, GameCube, PC;Apr-04;Activision;Inggris;Berdasarkan film animasi Shrek 2, pemain berganti-ganti karakter dari dunia dongeng untuk menyelesaikan misi dan teka-teki.
223;Bujingai: The Forsaken City;Action, Hack & Slash;PlayStation 2;Juli 2003 (JP), 2004 (NA/EU);Taito / BAM! Entertainment;Inggris;Bertarung sebagai Lau Wong, pendekar seni bela diri supernatural, dalam kota terlantar melawan monster dan ninja jahat.
224;Shadow Hearts: Covenant;RPG, Turn-Based;PlayStation 2;Sep-04;Midway / Nautilus;Inggris;Sekuel RPG bergaya gelap ini mengikuti Yuri, pahlawan dengan kekuatan iblis, yang bertarung melawan kekuatan supranatural saat Perang Dunia I.
225;Ratchet & Clank: Going Commando;Action, Platformer;PlayStation 2;Nov-03;Sony Computer Entertainment;Inggris;Duo pahlawan luar angkasa kembali dengan lebih banyak senjata, armor, dan fitur RPG dalam petualangan galaksi yang penuh aksi.
226;Red Dead Revolver;Action, Shooter;PlayStation 2, Xbox;Mei 2004;Rockstar Games;Inggris;Prekuel spiritual Red Dead Redemption, game ini membawa pemain ke dunia koboi liar penuh aksi tembak-menembak.
227;Phantom Brave;Tactical RPG;PlayStation 2;Agustus 2004;NIS America;Inggris;RPG strategi unik dengan sistem bebas gerakan dan protagonis gadis muda yang memanggil roh untuk bertarung di medan perang.
228;Transformers;Action, Shooter;PlayStation 2;Mei 2004;Atari;Inggris;Berdasarkan seri Armada, pemain mengendalikan Autobots untuk menyelamatkan bumi dari invasi Decepticons.
229;Sly 2: Band of Thieves;Stealth, Platformer;PlayStation 2;Sep-04;Sony Computer Entertainment;Inggris;Kelompok pencuri hewan kembali untuk mencuri komponen Clockwerk dari organisasi kriminal antarnegara.
230;Yu-Gi-Oh! The Duelists of the Roses;Card Battle, Strategy;PlayStation 2;Februari 2003;Konami;Inggris;Spin-off dari seri kartu Yu-Gi-Oh! dengan sistem papan 3D yang menghadirkan strategi baru dalam duel monster.
231;Manhunt;Stealth, Horror;PlayStation 2, Xbox, PC;Nov-03;Rockstar Games;Inggris;Game bertema kontroversial di mana pemain dipaksa bertahan hidup dan membunuh secara brutal dalam acara TV sadis.
232;Virtua Fighter 4: Evolution;Fighting;PlayStation 2;Maret 2003;Sega;Inggris;Versi yang disempurnakan dari Virtua Fighter 4 dengan karakter baru, grafik lebih baik, dan gameplay turnamen yang mendalam.
233;Zone of the Enders: The 2nd Runner;Action, Mecha;PlayStation 2;Februari 2003 (JP), September 2003 (NA);Konami;Inggris;Game aksi cepat dengan pertarungan robot raksasa di luar angkasa, disertai grafis anime dan cerita futuristik.
234;Beyond Good & Evil;Action, Adventure;PlayStation 2, Xbox, GameCube, PC;2 Desember 2003;Ubisoft;Inggris;Jade, seorang jurnalis investigasi, membongkar konspirasi alien yang melibatkan pemerintah dan pasukan militer di planetnya.
235;Kill.Switch;Shooter, Tactical;PlayStation 2, Xbox, PC, GBA;28 Oktober 2003;Namco;Inggris;"Game third-person shooter yang memperkenalkan sistem ""cover"", mengikuti tentara bayaran dalam misi sabotase global."
236;The Suffering;Horror, Action;PlayStation 2, Xbox, PC;8 Maret 2004;Midway Games;Inggris;Prison horror shooter yang mengisahkan karakter utama yang dihantui oleh monster dan masa lalu kelamnya di penjara pulau.
237;Onimusha 3: Demon Siege;Action, Hack & Slash;PlayStation 2;27-Apr-04;Capcom;Inggris;Samonosuke dan Jacques Blanc (diperankan Jean Reno) berperang melawan iblis Genma dalam pertarungan lintas waktu Paris dan Jepang.
238;NFL Street;Sports, Arcade;PlayStation 2, Xbox, GameCube;13 Januari 2004;EA Sports BIG;Inggris;Versi arcade dari American Football yang penuh gaya, tanpa aturan resmi, dan karakter penuh kepribadian.
239;Psi-Ops: The Mindgate Conspiracy;Action, Shooter, Sci-Fi;PlayStation 2, Xbox, PC;14 Juni 2004;Midway Games;Inggris;Game aksi dengan kekuatan psikis seperti telekinesis dan mind control, saat melawan organisasi rahasia yang jahat.
