pertanyaan;jawaban
Apa sinopsis dari Dark Souls III?;Dark Souls III mengisahkan petualangan Ashen One dalam dunia Lothric yang dilanda kegelapan. Pemain harus mengalahkan Lords of Cinder dan menghadapi berbagai tantangan dalam dunia yang terhubung dengan desain level yang kompleks dan pertarungan yang intens.
Apa judul lengkap dari game yang merupakan pendahulu spiritual Dark Souls ?;Judul lengkap dari game ini adalah Demon's Souls.
Apa genre dari Demon's Souls?;Demon's Souls adalah game bergenre action role-playing dengan nuansa dark fantasy.
Di platform mana saja Demon's Souls tersedia?;Demon's Souls tersedia di PlayStation 3, dan versi remake-nya tersedia di PlayStation 5.
Kapan Demon's Souls dirilis?;Demon's Souls pertama kali dirilis pada 5 Februari 2009 di Jepang, dan 6 Oktober 2009 di Amerika Utara.
Siapa publisher dari Demon's Souls?;Publisher dari Demon's Souls adalah Sony Computer Entertainment.
Siapa developer dari Demon's Souls?;Developer dari Demon's Souls adalah FromSoftware.
Bahasa apa saja yang tersedia dalam Demon's Souls?;Demon's Souls tersedia dalam bahasa Inggris, Jepang, Prancis, Jerman, dan Spanyol.
Apa sinopsis dari Demon's Souls?;"Demon's Souls menceritakan tentang seorang pahlawan yang memasuki kerajaan Boletaria, yang diselimuti kabut dan kekacauan akibat bangkitnya iblis kuno yang dikenal sebagai ""The Old One"". Pemain menghadapi makhluk-makhluk mengerikan dan sistem pertarungan yang sangat menantang."
Apakah Dark Souls memiliki remastered ?;Ya. Judul game ini memiliki versi remastered yang bernama Dark Souls: Remastered.
Apa genre dari Dark Souls: Remastered?;Dark Souls: Remastered adalah game bergenre action RPG dengan peningkatan grafis dari versi original.
Di platform mana saja Dark Souls: Remastered tersedia?;Dark Souls: Remastered tersedia di PlayStation 4, Xbox One, PC, dan Nintendo Switch.
Kapan Dark Souls: Remastered dirilis?;Dark Souls: Remastered dirilis pada 24 Mei 2018 di Jepang dan 25 Mei 2018 secara global.
Siapa publisher dari Dark Souls: Remastered?;Publisher dari Dark Souls: Remastered adalah Bandai Namco Entertainment.
Siapa developer dari Dark Souls: Remastered?;Developer dari Dark Souls: Remastered adalah FromSoftware, dengan bantuan dari QLOC untuk versi PC dan console modern.
Bahasa apa saja yang tersedia dalam Dark Souls: Remastered?;Dark Souls: Remastered tersedia dalam berbagai bahasa termasuk Inggris, Jepang, Prancis, Jerman, Italia, dan Spanyol.
Apa sinopsis dari Dark Souls: Remastered?;Dark Souls: Remastered menghidupkan kembali dunia Lordran yang gelap dan penuh tantangan, tempat pemain mengendalikan Undead yang ditakdirkan untuk mengubah masa depan dunia, dengan pertarungan brutal, cerita yang dalam, dan eksplorasi lingkungan yang saling terhubung.
Apa genre dari Elden Ring?;Elden Ring adalah game bergenre action role-playing yang memadukan eksplorasi dunia terbuka dengan pertarungan yang menantang khas Soulsborne.
Di platform mana saja Elden Ring tersedia?;Elden Ring tersedia di PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, dan PC (Microsoft Windows).
Kapan Elden Ring dirilis?;Elden Ring dirilis pada 25 Februari 2022 secara global.
Siapa publisher dari Elden Ring?;Publisher dari Elden Ring adalah Bandai Namco Entertainment.
Siapa developer dari Elden Ring?;Developer dari Elden Ring adalah FromSoftware, yang juga dikenal sebagai pengembang seri Souls dan Bloodborne.
Bahasa apa saja yang tersedia dalam Elden Ring?;Elden Ring tersedia dalam berbagai bahasa termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, Italia, Portugis, Rusia, dan Cina.
Apa sinopsis dari Elden Ring?;"Elden Ring berlatar di dunia fantasi yang dikenal sebagai ""The Lands Between"", di mana pemain berperan sebagai seorang Tarnished yang diasingkan, dipanggil kembali untuk mengklaim kekuatan Elden Ring dan menjadi Elden Lord. Ceritanya ditulis bekerja sama dengan George R.R. Martin dan menawarkan dunia luas yang penuh misteri, bos epik, dan narasi tidak langsung yang khas dari FromSoftware."
Apa genre dari Sekiro: Shadows Die Twice?;Sekiro: Shadows Die Twice adalah game bergenre action-adventure dengan elemen stealth dan pertarungan berbasis refleks cepat.
Di platform mana saja Sekiro: Shadows Die Twice tersedia?;Game ini tersedia di PlayStation 4, Xbox One, dan PC (Microsoft Windows).
Kapan Sekiro: Shadows Die Twice dirilis?;Sekiro: Shadows Die Twice dirilis pada 22 Maret 2019.
Siapa publisher dari Sekiro: Shadows Die Twice?;Publisher dari game ini adalah Activision (di luar Jepang) dan FromSoftware (di Jepang).
Siapa developer dari Sekiro: Shadows Die Twice?;Developer dari game ini adalah FromSoftware.
Bahasa apa saja yang tersedia dalam Sekiro: Shadows Die Twice?;Game ini mendukung beberapa bahasa termasuk Inggris, Jepang, Prancis, Jerman, Italia, Spanyol, dan lainnya.
Apa sinopsis dari Sekiro: Shadows Die Twice?;Dalam Sekiro: Shadows Die Twice, pemain berperan sebagai seorang shinobi bernama Wolf yang bertugas menyelamatkan tuannya yang ditangkap dan membalas dendam terhadap klan samurai yang menghinanya. Berlatar di era Sengoku Jepang, game ini menawarkan pertarungan intens, mekanik stealth, dan eksplorasi vertikal yang unik.
Apa judul lengkap dari game ini?;Judul lengkap dari game ini adalah Bloodborne.
Apa genre dari Bloodborne?;Bloodborne adalah game bergenre action RPG dengan elemen horor gotik dan pertarungan cepat.
Di platform mana saja Bloodborne tersedia?;Bloodborne tersedia secara eksklusif di PlayStation 4.
Kapan Bloodborne dirilis?;Bloodborne dirilis pada 24 Maret 2015 di Amerika Utara dan 25 Maret 2015 di Eropa dan Jepang.
Siapa publisher dari Bloodborne?;Publisher dari game ini adalah Sony Computer Entertainment.
Siapa developer dari Bloodborne?;Developer dari game ini adalah FromSoftware.
Bahasa apa saja yang tersedia dalam Bloodborne?;Bloodborne tersedia dalam berbagai bahasa termasuk Inggris, Jepang, Jerman, Prancis, Spanyol, dan Italia.
Apa sinopsis dari Bloodborne?;Dalam Bloodborne, pemain menjelajahi kota gothic Yharnam yang penuh dengan wabah aneh dan makhluk mengerikan. Sebagai seorang Hunter, pemain harus menghadapi mimpi buruk kosmik dan mengungkap rahasia kuno yang tersembunyi dalam dunia gelap dan penuh tantangan ini.
Apakah judul game Demon's Souls memiliki remake  ?;Iya. Game pendahulu spiritual Dark Souls memiliki remake yaitu Demon�s Souls (Remake).
Apa genre dari Demon�s Souls (Remake)?;Demon�s Souls (Remake) adalah game action RPG dengan fokus pada pertarungan strategis dan eksplorasi dalam dunia fantasi gelap.
Di platform mana saja Demon�s Souls (Remake) tersedia?;Game ini eksklusif untuk PlayStation 5.
Kapan Demon�s Souls (Remake) dirilis?;Demon�s Souls (Remake) dirilis pada 12 November 2020.
Siapa publisher dari Demon�s Souls (Remake)?;Publisher dari remake ini adalah Sony Interactive Entertainment.
Siapa developer dari Demon�s Souls (Remake)?;Remake ini dikembangkan oleh Bluepoint Games bekerja sama dengan Sony Japan Studio.
Bahasa apa saja yang tersedia dalam Demon�s Souls (Remake)?;Game ini mendukung banyak bahasa termasuk Inggris, Jepang, Prancis, Spanyol, Italia, Jerman, dan lainnya.
Apa sinopsis dari Demon�s Souls (Remake)?;Dalam versi remake ini, pemain kembali ke dunia Boletaria untuk melawan kekuatan iblis yang telah membangkitkan kekacauan. Dengan grafis modern dan gameplay yang diperhalus, remake ini menghadirkan kembali atmosfer kelam dan tantangan ikonik dari game klasik PS3.
Apa judul lengkap dari game yang mengisahkan petualangan Pinocchio dalam dunia gelap bergaya Belle �poque ?;Judul lengkap dari game ini adalah Lies of P.
Apa genre dari Lies of P?;Lies of P adalah game bergenre action RPG dengan elemen Soulslike.
Di platform mana saja Lies of P tersedia?;Lies of P tersedia di PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, dan PC (Windows).
Kapan Lies of P dirilis?;Lies of P dirilis pada 19 September 2023.
Siapa publisher dari Lies of P?;Publisher dari Lies of P adalah Neowiz.
Siapa developer dari Lies of P?;Developer dari Lies of P adalah Neowiz Games dan Round8 Studio.
Bahasa apa saja yang tersedia dalam Lies of P?;Lies of P mendukung berbagai bahasa, termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, Italia, Korea, dan Cina (Sederhana dan Tradisional).
Apa sinopsis dari Lies of P?;Lies of P mengisahkan petualangan Pinocchio dalam dunia gelap bergaya Belle �poque yang dipenuhi oleh automaton berbahaya. Pemain menjelajahi kota Krat yang hancur, menghadapi berbagai musuh, dan membuat keputusan moral yang memengaruhi jalannya cerita.
Apa judul lengkap dari game yang  berlatar di Kerajaan Hermes yang dilanda wabah mematikan akibat penyalahgunaan alkimia ?;Judul lengkap dari game ini adalah Thymesia.
Apa genre dari Thymesia?;Thymesia adalah game bergenre action RPG dengan elemen Soulslike.
Di platform mana saja Thymesia tersedia?;Thymesia tersedia di PlayStation 5, Xbox Series X/S, Nintendo Switch (versi cloud), dan PC (Windows).
Kapan Thymesia dirilis?;Thymesia dirilis pada 18 Agustus 2022, dengan versi Amazon Luna menyusul pada 15 September 2022.
Siapa publisher dari Thymesia?;Publisher dari Thymesia adalah Team17.
Siapa developer dari Thymesia?;Developer dari Thymesia adalah OverBorder Studio.
Bahasa apa saja yang tersedia dalam Thymesia?;Thymesia mendukung berbagai bahasa, termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, dan lainnya.
Apa sinopsis dari Thymesia?;Thymesia berlatar di Kerajaan Hermes yang dilanda wabah mematikan akibat penyalahgunaan alkimia. Pemain mengendalikan Corvus, seorang pejuang bertopeng, yang berusaha mengungkap kebenaran di balik kehancuran kerajaan dan menghadapi makhluk-makhluk terinfeksi.
Apa judul lengkap dari game yang mengisahkan perjuangan seorang Dark Crusader dalam dunia fantasi gelap untuk menggulingkan dewa iblis Adyr ?;Judul lengkap dari game ini adalah Lords of the Fallen.
Apa genre dari Lords of the Fallen?;Lords of the Fallen adalah game bergenre action RPG dengan elemen Soulslike.
Di platform mana saja Lords of the Fallen tersedia?;Lords of the Fallen tersedia di PlayStation 5, Xbox Series X/S, dan PC (Windows).
Kapan Lords of the Fallen dirilis?;Lords of the Fallen dirilis pada 13 Oktober 2023.
Siapa publisher dari Lords of the Fallen?;Publisher dari Lords of the Fallen adalah CI Games.
Siapa developer dari Lords of the Fallen?;Developer dari Lords of the Fallen adalah Hexworks.
Bahasa apa saja yang tersedia dalam Lords of the Fallen?;Lords of the Fallen mendukung berbagai bahasa, termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, Italia, Korea, dan Cina (Sederhana dan Tradisional).
Apa sinopsis dari Lords of the Fallen?;Lords of the Fallen mengisahkan perjuangan seorang Dark Crusader dalam dunia fantasi gelap untuk menggulingkan dewa iblis Adyr. Pemain menjelajahi dua dunia paralel�Axiom dan Umbral�menghadapi berbagai musuh dan bos yang menantang.
Apa judul lengkap dari game yang menceritakan tentang anggota tim S.T.A.R.S. yang terjebak di sebuah mansion misterius yang dipenuhi oleh zombie dan makhluk mengerikan lainnya.?;Judul lengkap dari game ini adalah Resident Evil.
Apa genre dari Resident Evil?;Resident Evil adalah game bergenre survival horror.
Di platform mana saja Resident Evil tersedia?;Resident Evil tersedia di PlayStation, Sega Saturn, dan Microsoft Windows.
Kapan Resident Evil dirilis?;Resident Evil dirilis pada 22 Maret 1996 di Jepang dan 30 Maret 1996 di Amerika Utara.
Siapa publisher dari Resident Evil?;Publisher dari Resident Evil adalah Capcom.
Siapa developer dari Resident Evil?;Developer dari Resident Evil adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil?;Resident Evil tersedia dalam bahasa Inggris dan Jepang.
Apa sinopsis dari Resident Evil?;Dalam Resident Evil, pemain mengendalikan anggota tim S.T.A.R.S. yang terjebak di sebuah mansion misterius yang dipenuhi oleh zombie dan makhluk mengerikan lainnya. Mereka harus mengungkap rahasia di balik eksperimen biologi yang dilakukan oleh Umbrella Corporation.
Apa judul lengkap dari game sekuel lanjutan Resident Evil?;Judul lengkap dari game ini adalah Resident Evil 2.
Apa genre dari Resident Evil 2?;Resident Evil 2 adalah game bergenre survival horror.
Di platform mana saja Resident Evil 2 tersedia?;Resident Evil 2 tersedia di PlayStation, Nintendo 64, Dreamcast, dan Microsoft Windows.
Kapan Resident Evil 2 dirilis?;Resident Evil 2 dirilis pada 21 Januari 1998 di Jepang dan 21 Januari 1998 di Amerika Utara.
Siapa publisher dari Resident Evil 2?;Publisher dari Resident Evil 2 adalah Capcom.
Siapa developer dari Resident Evil 2?;Developer dari Resident Evil 2 adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil 2?;Resident Evil 2 tersedia dalam bahasa Inggris dan Jepang.
Apa sinopsis dari Resident Evil 2?;Dalam Resident Evil 2, pemain mengikuti kisah Leon S. Kennedy dan Claire Redfield yang berusaha melarikan diri dari Raccoon City yang telah terinfeksi oleh virus mematikan yang mengubah penduduk menjadi zombie.
Apa judul lengkap dari game yang menceritakan tentang Jill Valentine yang berusaha melarikan diri dari Raccoon City?;Judul lengkap dari game ini adalah Resident Evil 3: Nemesis.
Apa genre dari Resident Evil 3: Nemesis?;Resident Evil 3: Nemesis adalah game bergenre survival horror.
Di platform mana saja Resident Evil 3: Nemesis tersedia?;Resident Evil 3: Nemesis tersedia di PlayStation, Dreamcast, GameCube, dan Microsoft Windows.
Kapan Resident Evil 3: Nemesis dirilis?;Resident Evil 3: Nemesis dirilis pada 22 September 1999 di Jepang dan 9 November 1999 di Amerika Utara.
Siapa publisher dari Resident Evil 3: Nemesis?;Publisher dari Resident Evil 3: Nemesis adalah Capcom.
Siapa developer dari Resident Evil 3: Nemesis?;Developer dari Resident Evil 3: Nemesis adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil 3: Nemesis?;Resident Evil 3: Nemesis tersedia dalam bahasa Inggris dan Jepang.
Apa sinopsis dari Resident Evil 3: Nemesis?;Dalam Resident Evil 3: Nemesis, pemain mengikuti Jill Valentine yang berusaha melarikan diri dari Raccoon City sambil diburu oleh Nemesis, senjata biologis yang diciptakan oleh Umbrella Corporation.
Apa judul lengkap dari game yang menceritakan Leon S. Kennedy yang ditugaskan untuk menyelamatkan putri Presiden AS ?;Judul lengkap dari game ini adalah Resident Evil 4.
Apa genre dari Resident Evil 4?;Resident Evil 4 adalah game bergenre action-adventure dengan elemen survival horror.
Di platform mana saja Resident Evil 4 tersedia?;Resident Evil 4 tersedia di GameCube, PlayStation 2, Wii, PlayStation 3, Xbox 360, dan Microsoft Windows.
Kapan Resident Evil 4 dirilis?;Resident Evil 4 dirilis pada 11 Januari 2005 di Jepang dan 11 Januari 2005 di Amerika Utara.
Siapa publisher dari Resident Evil 4?;Publisher dari Resident Evil 4 adalah Capcom.
Siapa developer dari Resident Evil 4?;Developer dari Resident Evil 4 adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil 4?;Resident Evil 4 tersedia dalam berbagai bahasa termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, dan Italia.
Apa sinopsis dari Resident Evil 4?;Dalam Resident Evil 4, pemain mengendalikan Leon S. Kennedy yang ditugaskan untuk menyelamatkan putri Presiden AS yang diculik oleh sekte misterius di sebuah desa terpencil di Spanyol.
Apa judul lengkap dari game tentang Chris Redfield dan Sheva Alomar yang menyelidiki aktivitas bioterorisme di Afrika ?;Judul lengkap dari game ini adalah Resident Evil 5.
Apa genre dari Resident Evil 5?;Resident Evil 5 adalah game bergenre action-adventure dengan elemen survival horror.
Di platform mana saja Resident Evil 5 tersedia?;Resident Evil 5 tersedia di PlayStation 3, Xbox 360, dan Microsoft Windows.
Kapan Resident Evil 5 dirilis?;Resident Evil 5 dirilis pada 5 Maret 2009 di Jepang dan 13 Maret 2009 di Amerika Utara.
Siapa publisher dari Resident Evil 5?;Publisher dari Resident Evil 5 adalah Capcom.
Siapa developer dari Resident Evil 5?;Developer dari Resident Evil 5 adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil 5?;Resident Evil 5 tersedia dalam berbagai bahasa termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, dan Italia.
Apa sinopsis dari Resident Evil 5?;Dalam Resident Evil 5, pemain mengikuti Chris Redfield dan Sheva Alomar yang menyelidiki aktivitas bioterorisme di Afrika dan menghadapi ancaman baru yang berhubungan dengan virus Uroboros.
Apa judul lengkap dari game yang bercerita tentang beberapa protagonis termasuk Leon S. Kennedy, Chris Redfield, dan Jake Muller dalam upaya mereka untuk menghentikan penyebaran virus?;Judul lengkap dari game ini adalah Resident Evil 6.
Apa genre dari Resident Evil 6?;Resident Evil 6 adalah game bergenre action-adventure dengan elemen survival horror.
Di platform mana saja Resident Evil 6 tersedia?;Resident Evil 6 tersedia di PlayStation 3, Xbox 360, dan Microsoft Windows.
Kapan Resident Evil 6 dirilis?;Resident Evil 6 dirilis pada 2 Oktober 2012 di Amerika Utara dan 4 Oktober 2012 di Jepang.
Siapa publisher dari Resident Evil 6?;Publisher dari Resident Evil 6 adalah Capcom.
Siapa developer dari Resident Evil 6?;Developer dari Resident Evil 6 adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil 6?;Resident Evil 6 tersedia dalam berbagai bahasa termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, dan Italia.
Apa sinopsis dari Resident Evil 6?;Dalam Resident Evil 6, pemain mengikuti beberapa protagonis termasuk Leon S. Kennedy, Chris Redfield, dan Jake Muller dalam upaya mereka untuk menghentikan penyebaran virus C yang mengancam umat manusia.
Apa judul lengkap dari game tentang Ethan Winters yang sedang mencari istrinya ?;Judul lengkap dari game ini adalah Resident Evil 7: Biohazard.
Apa genre dari Resident Evil 7: Biohazard?;Resident Evil 7: Biohazard adalah game bergenre survival horror dengan perspektif orang pertama.
Di platform mana saja Resident Evil 7: Biohazard tersedia?;Resident Evil 7: Biohazard tersedia di PlayStation 4, Xbox One, Microsoft Windows, Nintendo Switch (cloud version), dan PlayStation VR.
Kapan Resident Evil 7: Biohazard dirilis?;Resident Evil 7: Biohazard dirilis pada 24 Januari 2017 di seluruh dunia.
Siapa publisher dari Resident Evil 7: Biohazard?;Publisher dari Resident Evil 7: Biohazard adalah Capcom.
Siapa developer dari Resident Evil 7: Biohazard?;Developer dari Resident Evil 7: Biohazard adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil 7: Biohazard?;Resident Evil 7: Biohazard tersedia dalam berbagai bahasa termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, Italia, Portugis, Rusia, dan lainnya.
Apa sinopsis dari Resident Evil 7: Biohazard?;Dalam Resident Evil 7: Biohazard, pemain mengendalikan Ethan Winters yang sedang mencari istrinya, Mia, dan berakhir di sebuah rumah misterius milik keluarga Baker yang tampaknya terkena infeksi biologi mematikan. Game ini kembali ke akar horor dengan eksplorasi menegangkan dan keterbatasan sumber daya.
Apa judul lengkap dari game Resident Evil yang berlatar pada sebuah desa terpencil yang dipenuhi oleh makhluk supernatural seperti werewolf, vampir, dan mutan ?;Judul lengkap dari game ini adalah Resident Evil Village, yang juga dikenal sebagai Resident Evil 8.
Apa genre dari Resident Evil Village?;Resident Evil Village adalah game bergenre survival horror dengan perspektif orang pertama.
Di platform mana saja Resident Evil Village tersedia?;Resident Evil Village tersedia di PlayStation 4, PlayStation 5, Xbox One, Xbox Series X/S, Microsoft Windows, dan Mac.
Kapan Resident Evil Village dirilis?;Resident Evil Village dirilis pada 7 Mei 2021 secara global.
Siapa publisher dari Resident Evil Village?;Publisher dari Resident Evil Village adalah Capcom.
Siapa developer dari Resident Evil Village?;Developer dari Resident Evil Village adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil Village?;Resident Evil Village tersedia dalam berbagai bahasa seperti Inggris, Jepang, Prancis, Jerman, Spanyol, Italia, Rusia, Portugis, Arab, Korea, dan Mandarin.
Apa sinopsis dari Resident Evil Village?;Dalam Resident Evil Village, Ethan Winters kembali sebagai protagonis dan menghadapi mimpi buruk baru di sebuah desa terpencil yang dipenuhi oleh makhluk supernatural seperti werewolf, vampir, dan mutan. Dia berusaha menyelamatkan putrinya, Rose, dari organisasi misterius dan makhluk mengerikan bernama Lady Dimitrescu dan pemimpin-pemimpin lainnya di bawah Mother Miranda.
Apa judul lengkap dari game yang berkisah tentang  kisah Claire Redfield yang mencari saudaranya, Chris, dan terperangkap di fasilitas Umbrella di Antartika ?;Judul lengkap dari game ini adalah Resident Evil Code: Veronica.
Apa genre dari Resident Evil Code: Veronica?;Resident Evil Code: Veronica adalah game bergenre survival horror.
Di platform mana saja Resident Evil Code: Veronica tersedia?;Resident Evil Code: Veronica tersedia di Dreamcast, PlayStation 2, Nintendo GameCube, PlayStation 3, Xbox 360, dan PlayStation 4.
Kapan Resident Evil Code: Veronica dirilis?;Resident Evil Code: Veronica pertama kali dirilis pada 3 Februari 2000 di Jepang untuk Dreamcast. Versi PlayStation 2 dirilis pada 21 Agustus 2001 di Amerika Utara.
Siapa publisher dari Resident Evil Code: Veronica?;Publisher dari Resident Evil Code: Veronica adalah Capcom.
Siapa developer dari Resident Evil Code: Veronica?;Developer dari Resident Evil Code: Veronica adalah Capcom, dengan bantuan dari Nextech dan Flagship.
Bahasa apa saja yang tersedia dalam Resident Evil Code: Veronica?;Resident Evil Code: Veronica tersedia dalam bahasa Inggris dan Jepang.
Apa sinopsis dari Resident Evil Code: Veronica?;Dalam Resident Evil Code: Veronica, pemain mengikuti kisah Claire Redfield yang mencari saudaranya, Chris, dan terperangkap di fasilitas Umbrella di Antartika. Game ini memperkenalkan lingkungan 3D penuh dan melanjutkan cerita dari Resident Evil 2.
Apa judul lengkap dari game yang bercerita tentang agen BSAA Jill Valentine dan Parker Luciani saat mereka menyelidiki kapal pesiar Queen Zenobia yang terbengkalai untuk mencari Chris Redfield ?;Judul lengkap dari game ini adalah Resident Evil: Revelations.
Apa genre dari Resident Evil: Revelations?;Resident Evil: Revelations adalah game bergenre survival horror.
Di platform mana saja Resident Evil: Revelations tersedia?;Resident Evil: Revelations tersedia di Nintendo 3DS, PlayStation 3, Xbox 360, Wii U, Microsoft Windows, PlayStation 4, Xbox One, dan Nintendo Switch.
Kapan Resident Evil: Revelations dirilis?;Resident Evil: Revelations pertama kali dirilis pada 26 Januari 2012 di Jepang untuk Nintendo 3DS. Versi HD untuk konsol dan PC dirilis pada Mei 2013.
Siapa publisher dari Resident Evil: Revelations?;Publisher dari Resident Evil: Revelations adalah Capcom.
Siapa developer dari Resident Evil: Revelations?;Developer dari Resident Evil: Revelations adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil: Revelations?;Resident Evil: Revelations tersedia dalam berbagai bahasa termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, dan Italia.
Apa sinopsis dari Resident Evil: Revelations?;Dalam Resident Evil: Revelations, pemain mengikuti agen BSAA Jill Valentine dan Parker Luciani saat mereka menyelidiki kapal pesiar Queen Zenobia yang terbengkalai untuk mencari Chris Redfield. Game ini mengembalikan elemen survival horror klasik dengan atmosfer mencekam dan sumber daya yang terbatas.
Apa judul lengkap dari game lanjutan sekuel Resident Evil Revelations ?;Judul lengkap dari game ini adalah Resident Evil: Revelations 2.
Apa genre dari Resident Evil: Revelations 2?;Resident Evil: Revelations 2 adalah game bergenre survival horror dengan elemen aksi dan teka-teki.
Di platform mana saja Resident Evil: Revelations 2 tersedia?;Game ini tersedia di PlayStation 3, PlayStation 4, PlayStation Vita, Xbox 360, Xbox One, Microsoft Windows, dan Nintendo Switch.
Kapan Resident Evil: Revelations 2 dirilis?;Episode pertama dirilis pada 24 Februari 2015 di Amerika Utara dan 25 Februari 2015 di wilayah lainnya. Episode-episode selanjutnya dirilis secara mingguan, dengan episode terakhir keluar pada 17 Maret 2015.
Siapa publisher dari Resident Evil: Revelations 2?;Publisher dari game ini adalah Capcom.
Siapa developer dari Resident Evil: Revelations 2?;Developer dari game ini adalah Capcom.
Bahasa apa saja yang tersedia dalam Resident Evil: Revelations 2?;Game ini mendukung berbagai bahasa, termasuk Inggris, Jepang, Prancis, Jerman, Spanyol, Italia, Rusia, dan Portugis.
Apa sinopsis dari Resident Evil: Revelations 2?;Dalam Resident Evil: Revelations 2, pemain mengikuti kisah Claire Redfield dan Moira Burton yang diculik dan dibawa ke fasilitas penahanan di pulau terpencil. Mereka harus bekerja sama untuk melarikan diri dan mengungkap misteri di balik penculikan mereka. Sementara itu, Barry Burton, ayah Moira, datang ke pulau tersebut untuk menyelamatkan putrinya dan bertemu dengan seorang gadis misterius bernama Natalia. Cerita ini berlangsung antara peristiwa Resident Evil 5 dan Resident Evil 6.
